k,x,y,a,
196,43.65111410705656,-1.9506361839005837,-0.0032594030815662977,
197,44.04035247207131,-1.820095549073073,-0.00360154209860311,
198,44.16732875356115,-2.2765630924633036,-0.003850937617191869,
199,44.2631822940883,-2.521183097327403,-0.0040237476476179534,
200,44.04170732258655,-2.8256049114045396,-0.004116201801091502,
201,44.03084533038602,-3.047248577202,-0.0042741711180954685,
202,44.07240546391694,-3.296754232946445,-0.004349700326960024,
203,44.21115194922334,-3.4733434822983487,-0.004457008916270372,
204,44.049522884066576,-3.57794975403575,-0.004583961012191874,
205,43.93204967093171,-3.6662721276983814,-0.0047128344115064755,
206,43.78302756572737,-3.711732357021346,-0.004792693226818187,
207,43.73309002904413,-3.753423382770911,-0.004886580492951447,
208,43.352206916040686,-3.7107134031160802,-0.004885228900688131,
209,43.04480697385712,-3.740756766851461,-0.004793155058517336,
210,42.44381161663087,-3.630822457838244,-0.004882135052573308,
211,42.1480813420953,-3.567234205451116,-0.00494757260253296,
212,41.79173089177892,-3.5032014446761885,-0.004815715307011894,
213,41.21926599213611,-3.4395442416646698,-0.004871990713797089,
214,40.666151962929,-3.1303126953353506,-0.004982346853088462,
215,40.35466002584317,-3.198545070077203,-0.005003281582861285,
216,39.70005393819037,-3.0583402901006327,-0.0049393571293421005,
217,39.219130863790035,-2.950650070842734,-0.004844006866535079,
218,38.75216280995707,-2.850473567681729,-0.004967532341289601,
219,38.237635186573506,-2.694145340591671,-0.00478197605642031,
220,37.517409667347025,-2.517779536770902,-0.00488748404438347,
221,36.71574213383169,-2.409652813049561,-0.00488812273658162,
222,36.39113298007965,-2.270309318968859,-0.00481707989986934,
223,35.82293143141805,-2.3500329639905098,-0.004720244112619555,
224,35.16054558204094,-2.3896883610996897,-0.004736291659749902,
225,34.26306410548679,-2.611681101660781,-0.004648104232415495,
226,33.77345917021027,-2.8205226744034415,-0.004421792700025763,
227,33.33775828511038,-2.660733311290153,-0.004374591521767666,
228,32.83923419480375,-2.798512068075524,-0.004449258233407695,
229,32.38074974675587,-2.731763314509456,-0.004302897681392002,
230,31.949582672317216,-2.738551803861605,-0.004347886958280271,
231,31.516917791849195,-2.781560392460237,-0.004269084540497805,
232,30.824409493882957,-2.959212796802366,-0.004386156271345163,
233,30.73800746762719,-2.932679183203576,-0.004403093760559255,
234,30.49247614650145,-3.1767317804823856,-0.004333319788005431,
235,30.09901626929248,-3.4703623100630976,-0.004375191779217409,
236,29.863132152238475,-3.794145359725765,-0.0043465105673867535,
237,29.70380474601936,-3.949382886043886,-0.004336560460876655,
238,29.58733952388677,-4.323480707714881,-0.004413496970145686,
239,29.464433643347505,-4.09961328746258,-0.004576874190208122,
240,29.297115783298782,-4.512734082519839,-0.004760969436933436,
241,29.110350895378392,-4.961647994992817,-0.00473053251527385,
242,29.077184446807426,-5.3392920642037,-0.004638185619234234,
243,29.271316227251802,-5.778735585177602,-0.004485631687164535,
244,29.299264189985355,-6.156137522372481,-0.004377360481273332,
245,29.054564117099684,-6.6552181790396325,-0.004332238388733088,
246,29.27002298657008,-7.079040148143493,-0.004342018952329407,
247,29.39222308973593,-7.519582528179412,-0.004382710772007999,
248,29.3827761973843,-8.034385962500739,-0.004624687367486081,
249,29.397970004736305,-8.838370406653805,-0.00479323060443594,
250,29.523637161447425,-9.589715459458526,-0.004875558062905982,
251,29.575518377020394,-10.607096423310429,-0.005100546897694016,
252,29.68623452857035,-11.519745144379709,-0.005331549162900831,
253,29.918110632086794,-12.375861218837493,-0.005435427584816601,
254,30.1690855215146,-13.073484783696816,-0.005810404270400487,
255,30.22780355029098,-14.03454261860603,-0.005876321346883129,
256,30.428863184190917,-14.999172629054009,-0.0061227058415654,
257,30.53474153835495,-16.113685652273713,-0.0062186494255952575,
258,30.779797677098774,-17.029931618677793,-0.006393380986523528,
259,30.961964184850398,-18.099459877903772,-0.006546509538928118,
260,31.221753561589217,-19.193219777043307,-0.0067557797165012385,
261,31.589271164165893,-20.5742323955664,-0.006979865788178517,
262,31.75214961914183,-21.533376590790194,-0.007125561981888034,
263,31.89433812124925,-22.758002575062655,-0.007307563135988698,
264,32.17476126661813,-23.906940791568278,-0.007462034525207606,
265,32.4050800487719,-24.91090622460006,-0.007645288063758202,
266,32.71579261180443,-25.89795100627174,-0.007949058757081382,
267,32.94163668994274,-27.255032395141413,-0.008077746362530154,
268,33.1613370964687,-28.3487751678075,-0.008556658755514385,
269,33.51403627101481,-29.618049915935075,-0.008742808548112057,
270,33.87233415966071,-30.574526543544014,-0.008988378417699103,
271,34.27417688444104,-31.86125007512016,-0.009032286203956628,
272,34.56340388924249,-33.0966125215924,-0.009132603906978789,
273,34.99603423642516,-34.19104783687351,-0.009207322694501793,
274,35.37290909656325,-35.12791563121567,-0.009198996133791416,
275,35.639743806115554,-36.08907261700167,-0.00938807929400903,
276,36.05350138965124,-37.20890860391165,-0.009341558316389682,
277,36.35603345435885,-37.870790024480215,-0.009474363259359747,
278,36.76590725391253,-39.181500124530324,-0.00953701959686695,
279,37.097815573061396,-39.951086273400016,-0.009576452408184269,
280,37.518094156947726,-40.694045188096666,-0.009631564978445351,
281,37.863078124164495,-41.38848612936696,-0.009805075853740044,
282,38.39900477235172,-41.97765043090159,-0.009934407499916132,
283,38.54252848957143,-42.34097800524542,-0.009969934431456603,
284,39.01216883536948,-42.7597218948564,-0.009947268191789227,
285,39.46107915803747,-43.157380928502356,-0.009992520157367672,
286,39.81528464977232,-43.62178616576213,-0.009997689343061871,
287,40.11734425897748,-43.8420657111902,-0.009952947643408925,
288,40.539142243260045,-44.129974402981325,-0.009873245158905508,
289,40.97947119526834,-44.36571971677059,-0.009815616931766137,
290,41.21924379251977,-44.46710021436031,-0.00975039682047464,
291,41.48230962704076,-44.531602223509324,-0.009596530474249541,
292,41.68821947485044,-44.48010314122616,-0.009431057527776147,
293,41.88998954238302,-44.477522582991014,-0.009475164321000129,
294,42.327256296155944,-44.288790698541575,-0.009391976139438945,
295,42.55607299134875,-44.241518452926776,-0.009333626808190979,
296,42.74286854521029,-44.29651696015288,-0.009250440847702872,
297,42.90484547284243,-44.22493239611048,-0.009164994168032835,
298,43.004331873269535,-44.00943275480751,-0.009042637988950728,
299,43.07442368535307,-43.552944271679756,-0.008934436481709688,
300,43.26597992102515,-43.33446595504344,-0.008877960191304822,
301,43.50946812739994,-43.20664865570919,-0.008828247498684652,
302,43.6455939195956,-42.56150256229359,-0.008683778750666867,
303,43.8248537419379,-42.00940438124936,-0.008591647860410181,
